Probe Set ID	Gene Title	Gene Symbol
1552448_a_at	chromosome 8 open reading frame 12	C8orf12
1552449_a_at	"secretoglobin, family 1C, member 1"	SCGB1C1
1552450_a_at	"DnaJ (Hsp40) homolog, subfamily C, member 5 gamma"	DNAJC5G
1552452_at	WD repeat domain 88	WDR88
1552453_a_at	WD repeat domain 88	WDR88
1552455_at	prune homolog 2 (Drosophila)	PRUNE2
1552456_a_at	methyl-CpG binding domain protein 3-like 2	MBD3L2
1552457_a_at	ADAMTS-like 1	ADAMTSL1
1552458_at	methyl-CpG binding domain protein 3-like 1	MBD3L1
1552459_a_at	methyl-CpG binding domain protein 3-like 1	MBD3L1
1552461_at	"family with sequence similarity 46, member D"	FAM46D
1552463_at	"serpin peptidase inhibitor, clade B (ovalbumin), member 11 (gene/pseudogene)"	SERPINB11
1552466_x_at	non-protein coding RNA 161	NCRNA00161
1552467_at	Down syndrome critical region gene 10	DSCR10
1552468_a_at	Down syndrome critical region gene 10	DSCR10
1552470_a_at	abhydrolase domain containing 11	ABHD11
1552472_a_at	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2"	ACAP2
1552473_at	guanidinoacetate N-methyltransferase	GAMT
1552474_a_at	guanidinoacetate N-methyltransferase	GAMT
1552476_s_at	"phospholipase C, delta 3"	PLCD3
1552477_a_at	interferon regulatory factor 6	IRF6
1552478_a_at	interferon regulatory factor 6	IRF6
1552480_s_at	"protein tyrosine phosphatase, receptor type, C"	PTPRC
1552481_s_at	"mannosidase, alpha, class 1A, member 2"	MAN1A2
1552482_at	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1	RAPH1
1552484_at	"Smith-Magenis syndrome chromosome region, candidate 8"	SMCR8
1552485_at	"lactamase, beta"	LACTB
1552486_s_at	"lactamase, beta"	LACTB
1552487_a_at	basonuclin 1	BNC1
1552489_s_at	"membrane protein, palmitoylated 4 (MAGUK p55 subfamily member 4)"	MPP4
1552490_at	lactation elevated 1	LACE1
1552491_at	isopentenyl-diphosphate delta isomerase 2	IDI2
1552493_s_at	"cytochrome P450, family 11, subfamily B, polypeptide 1"	CYP11B1
1552494_at	"TAF8 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 43kDa"	TAF8
1552496_a_at	cordon-bleu homolog (mouse)	COBL
1552497_a_at	SLAM family member 6	SLAMF6
1552498_at	zinc finger and SCAN domain containing 20	ZSCAN20
1552499_a_at	zinc finger and SCAN domain containing 20	ZSCAN20
1552501_a_at	G protein-coupled bile acid receptor 1	GPBAR1
1552502_s_at	"rhomboid, veinlet-like 2 (Drosophila)"	RHBDL2
1552503_at	Fraser syndrome 1	FRAS1
1552504_a_at	BR serine/threonine kinase 1	BRSK1
1552506_at	crumbs homolog 2 (Drosophila)	CRB2
1552507_at	"potassium voltage-gated channel, Isk-related family, member 4"	KCNE4
1552508_at	"potassium voltage-gated channel, Isk-related family, member 4"	KCNE4
1552509_a_at	CD300 molecule-like family member g	CD300LG
1552510_at	"solute carrier family 34 (sodium phosphate), member 3"	SLC34A3
1552511_a_at	carboxypeptidase A6	CPA6
1552514_at	WBP2 N-terminal like	WBP2NL
1552515_at	homeodomain interacting protein kinase 1	HIPK1
1552516_a_at	homeodomain interacting protein kinase 1	HIPK1
1552518_s_at	"Mdm2, transformed 3T3 cell double minute 2, p53 binding protein (mouse) binding protein, 104kDa"	MTBP
1552519_at	"activin A receptor, type IC"	ACVR1C
1552520_at	transmembrane protein 74	TMEM74
1552521_a_at	transmembrane protein 74	TMEM74
1552522_at	tigger transposable element derived 4	TIGD4
1552523_a_at	tigger transposable element derived 4	TIGD4
1552524_at	ADP-ribosyltransferase 5	ART5
1552526_at	"family with sequence similarity 71, member C"	FAM71C
1552528_at	chromosome 21 open reading frame 67	C21orf67
1552531_a_at	"NLR family, pyrin domain containing 11"	NLRP11
1552532_a_at	"ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C2"	ATP6V1C2
1552535_at	claudin 19	CLDN19
1552536_at	vesicle transport through interaction with t-SNAREs homolog 1A (yeast)	VTI1A
1552538_a_at	kinesin family member 6	KIF6
1552540_s_at	IQ motif containing D	IQCD
1552541_at	T-cell activation RhoGTPase activating protein	TAGAP
1552542_s_at	T-cell activation RhoGTPase activating protein	TAGAP
1552543_a_at	stonin 2	STON2
1552544_at	"serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 12"	SERPINA12
1552546_a_at	leucine zipper-EF-hand containing transmembrane protein 2	LETM2
1552548_at	"Bartter syndrome, infantile, with sensorineural deafness (Barttin)"	BSND
1552549_a_at	"Bartter syndrome, infantile, with sensorineural deafness (Barttin)"	BSND
1552552_s_at	"C-type lectin domain family 4, member C"	CLEC4C
1552553_a_at	"NLR family, CARD domain containing 4"	NLRC4
1552554_a_at	"NLR family, CARD domain containing 4"	NLRC4
1552555_at	"protease, serine, 36"	PRSS36
1552557_a_at	"zinc finger, DHHC-type containing 15"	ZDHHC15
1552558_a_at	retinoic acid induced 1	RAI1
1552559_a_at	PFTAIRE protein kinase 2	PFTK2
1552562_at	zinc finger protein 570	ZNF570
1552563_a_at	chromosome 8 open reading frame 6	C8orf6
1552564_at	nudix (nucleoside diphosphate linked moiety X)-type motif 9 pseudogene 1	NUDT9P1
1552566_at	BTB (POZ) domain containing 16	BTBD16
1552568_at	receptor (chemosensory) transporter protein 3	RTP3
1552569_a_at	receptor (chemosensory) transporter protein 3	RTP3
1552570_at	chromosome 21 open reading frame 29	C21orf29
1552572_a_at	mirror-image polydactyly 1	MIPOL1
1552573_s_at	mirror-image polydactyly 1	MIPOL1
1552575_a_at	chromosome 6 open reading frame 141	C6orf141
1552576_at	Alstrom syndrome 1 pseudogene	ALMS1P
1552578_a_at	myosin IIIB	MYO3B
1552579_a_at	ADAM metallopeptidase domain 21	ADAM21
1552580_at	tripartite motif family-like 2	TRIML2
1552582_at	"ATP-binding cassette, sub-family C (CFTR/MRP), member 13"	ABCC13
1552583_s_at	"ATP-binding cassette, sub-family C (CFTR/MRP), member 13"	ABCC13
1552584_at	"interleukin 12 receptor, beta 1"	IL12RB1
1552585_s_at	"general transcription factor IIA, 1-like /// stonin 1"	GTF2A1L /// STON1
1552586_at	"transient receptor potential cation channel, subfamily V, member 3"	TRPV3
1552587_at	cyclic nucleotide binding domain containing 1	CNBD1
1552588_a_at	cyclic nucleotide binding domain containing 1	CNBD1
1552590_a_at	"ATP-binding cassette, sub-family C (CFTR/MRP), member 12"	ABCC12
1552592_at	matrix metallopeptidase 21	MMP21
1552594_at	transmembrane protein 190	TMEM190
1552596_at	growth arrest-specific 2 like 2	GAS2L2
1552598_at	"potassium voltage-gated channel, subfamily G, member 4"	KCNG4
1552599_at	"peroxisomal, testis specific 1"	PXT1
1552602_at	"calcium channel, voltage-dependent, gamma subunit 5"	CACNG5
1552604_at	chromosome 21 open reading frame 74	C21orf74
1552605_s_at	chromosome 21 open reading frame 74	C21orf74
1552607_at	chromosome X open reading frame 52	CXorf52
1552608_at	WAP four-disulfide core domain 11	WFDC11
1552609_s_at	"interleukin 28A (interferon, lambda 2) /// interleukin 28B (interferon, lambda 3)"	IL28A /// IL28B
1552610_a_at	Janus kinase 1	JAK1
1552611_a_at	Janus kinase 1	JAK1
1552612_at	CDC42 small effector 2	CDC42SE2
1552613_s_at	CDC42 small effector 2	CDC42SE2
1552615_at	acetyl-Coenzyme A carboxylase beta	ACACB
1552616_a_at	acetyl-Coenzyme A carboxylase beta	ACACB
1552617_a_at	ring finger and WD repeat domain 2	RFWD2
1552618_at	syntaxin 6	STX6
1552619_a_at	"anillin, actin binding protein"	ANLN
1552620_at	small proline-rich protein 4	SPRR4
1552621_at	polymerase (RNA) II (DNA directed) polypeptide J2	POLR2J2
1552622_s_at	"similar to POLR2J4 protein /// PMS2 postmeiotic segregation increased 2 (S. cerevisiae)-like /// postmeiotic segregation increased 2-like 12 pseudogene /// polymerase (RNA) II (DNA directed) polypeptide J2 /// polymerase (RNA) II (DNA directed) polypeptide J4, pseudogene"	LOC100134053 /// LOC441259 /// PMS2L12 /// POLR2J2 /// POLR2J4
1552623_at	hematopoietic SH2 domain containing	HSH2D
1552625_a_at	"tRNA nucleotidyl transferase, CCA-adding, 1"	TRNT1
1552626_a_at	transmembrane protein 163	TMEM163
1552627_a_at	Rho GTPase activating protein 5	ARHGAP5
1552628_a_at	HERPUD family member 2	HERPUD2
1552629_a_at	jumonji domain containing 6	JMJD6
1552630_a_at	Snf2-related CREBBP activator protein	SRCAP
1552631_a_at	mitogen-activated protein kinase kinase kinase 6	MAP3K6
1552632_a_at	arylsulfatase G	ARSG
1552633_at	zinc finger protein 101	ZNF101
1552634_a_at	zinc finger protein 101	ZNF101
1552637_at	"protein tyrosine phosphatase, non-receptor type 11"	PTPN11
1552639_at	kelch domain containing 7B	KLHDC7B
1552641_s_at	"ATPase family, AAA domain containing 3A /// ATPase family, AAA domain containing 3B /// similar to AAA-ATPase  TOB3"	ATAD3A /// ATAD3B /// LOC732419
1552643_at	zinc finger protein 626	ZNF626
1552644_a_at	polyhomeotic homolog 3 (Drosophila)	PHC3
1552646_at	"interleukin 11 receptor, alpha"	IL11RA
1552648_a_at	"tumor necrosis factor receptor superfamily, member 10a"	TNFRSF10A
1552649_a_at	ring finger and FYVE-like domain containing 1	RFFL
1552651_a_at	ring finger and FYVE-like domain containing 1	RFFL
1552652_at	Hermansky-Pudlak syndrome 4	HPS4
1552656_s_at	U2AF homology motif (UHM) kinase 1	UHMK1
1552657_a_at	thioredoxin domain containing 2 (spermatozoa)	TXNDC2
1552658_a_at	neuron navigator 3	NAV3
1552660_a_at	chromosome 5 open reading frame 22	C5orf22
1552661_at	"protocadherin gamma subfamily B, 7"	PCDHGB7
1552662_a_at	"protocadherin gamma subfamily B, 7"	PCDHGB7
1552663_a_at	ELKS/RAB6-interacting/CAST family member 1	ERC1
1552664_at	folliculin	FLCN
1552665_at	hypothetical LOC84989	LOC84989
1552666_a_at	leucine rich repeat containing 7	LRRC7
1552667_a_at	SH2 domain containing 3C	SH2D3C
1552669_at	"protein phosphatase 1, regulatory (inhibitor) subunit 3B"	PPP1R3B
1552670_a_at	"protein phosphatase 1, regulatory (inhibitor) subunit 3B"	PPP1R3B
1552671_a_at	"solute carrier family 9 (sodium/hydrogen exchanger), member 7"	SLC9A7
1552672_a_at	"immunoglobulin superfamily, member 3"	IGSF3
1552673_at	"regulatory factor X, 6"	RFX6
1552674_at	disrupted in renal carcinoma 1	DIRC1
1552675_at	"DnaJ (Hsp40) homolog, subfamily B, member 7"	DNAJB7
1552676_at	urocortin 3 (stresscopin)	UCN3
1552677_a_at	DIP2 disco-interacting protein 2 homolog A (Drosophila)	DIP2A
1552678_a_at	ubiquitin specific peptidase 28	USP28
1552680_a_at	cancer susceptibility candidate 5	CASC5
1552682_a_at	cancer susceptibility candidate 5	CASC5
1552684_a_at	SUMO/sentrin specific peptidase family member 8	SENP8
1552685_a_at	grainyhead-like 1 (Drosophila)	GRHL1
1552686_at	chromosome 20 open reading frame 152	C20orf152
1552687_a_at	chromosome 20 open reading frame 152	C20orf152
1552689_at	CASK interacting protein 1	CASKIN1
1552690_a_at	"calcium channel, voltage-dependent, alpha 2/delta subunit 4"	CACNA2D4
1552691_at	ADP-ribosylation factor-like 11	ARL11
1552693_at	ADP-ribosylation factor-like 11	ARL11
1552694_at	"solute carrier family 2 (facilitated glucose transporter), member 13"	SLC2A13
1552695_a_at	"solute carrier family 2 (facilitated glucose transporter), member 13"	SLC2A13
1552696_at	non imprinted in Prader-Willi/Angelman syndrome 1	NIPA1
1552698_at	"tubulin, alpha pseudogene"	MGC16703
1552701_a_at	"caspase recruitment domain family, member 16"	CARD16
1552703_s_at	"caspase recruitment domain family, member 16 /// caspase 1, apoptosis-related cysteine peptidase (interleukin 1, beta, convertase)"	CARD16 /// CASP1
1552705_at	dual specificity phosphatase 19	DUSP19
1552708_a_at	dual specificity phosphatase 19	DUSP19
1552711_a_at	cytochrome b5 domain containing 1	CYB5D1
1552712_a_at	nicotinamide nucleotide adenylyltransferase 2	NMNAT2
1552713_a_at	"solute carrier family 4, anion exchanger, member 1 (erythrocyte membrane protein band 3, Diego blood group)"	SLC4A1
1552714_at	cellular repressor of E1A-stimulated genes 2	CREG2
1552715_a_at	relaxin/insulin-like family peptide receptor 1	RXFP1
1552716_at	sperm flagellar 2	SPEF2
1552717_s_at	centrosomal protein 170kDa /// centrosomal protein 170kDa-like	CEP170 /// CEP170L
1552718_at	D-tyrosyl-tRNA deacylase 1 homolog (S. cerevisiae)	DTD1
1552719_at	cancer susceptibility candidate 4	CASC4
1552721_a_at	fibroblast growth factor 1 (acidic)	FGF1
1552722_at	"cyclic AMP-regulated phosphoprotein, 21 kD"	ARPP-21
1552724_at	"Rhox homeobox family, member 1"	RHOXF1
1552725_s_at	"ADAM metallopeptidase with thrombospondin type 1 motif, 17"	ADAMTS17
1552726_at	"ADAM metallopeptidase with thrombospondin type 1 motif, 17"	ADAMTS17
1552727_s_at	"ADAM metallopeptidase with thrombospondin type 1 motif, 17"	ADAMTS17
1552729_at	small nucleolar RNA host gene 7 (non-protein coding)	SNHG7
1552730_at	desert hedgehog homolog (Drosophila)	DHH
1552731_at	actin-binding Rho activating protein	ABRA
1552732_at	actin-binding Rho activating protein	ABRA
1552733_at	kelch domain containing 1	KLHDC1
1552734_at	rapamycin-insensitive companion of mTOR	RICTOR
1552735_at	"protocadherin gamma subfamily A, 4"	PCDHGA4
1552736_a_at	neuropilin (NRP) and tolloid (TLL)-like 1	NETO1
1552737_s_at	WW domain containing E3 ubiquitin protein ligase 2	WWP2
1552738_a_at	suppression of tumorigenicity 7 like	ST7L
1552739_s_at	suppression of tumorigenicity 7 like	ST7L
1552740_at	chromosome 2 open reading frame 15	C2orf15
1552742_at	"potassium voltage-gated channel, subfamily H (eag-related), member 8"	KCNH8
1552743_at	MCF.2 cell line derived transforming sequence-like	MCF2L
1552745_at	"solute carrier organic anion transporter family, member 6A1"	SLCO6A1
1552747_a_at	chromosome 3 open reading frame 48	C3orf48
1552749_a_at	kinesin light chain 3	KLC3
1552750_at	calcium and integrin binding family member 3	CIB3
1552751_a_at	calcium and integrin binding family member 3	CIB3
1552752_a_at	cell adhesion molecule 2	CADM2
1552754_a_at	cell adhesion molecule 2	CADM2
1552755_at	chromosome 9 open reading frame 66	C9orf66
1552757_s_at	chromosome 9 open reading frame 66	C9orf66
1552758_at	histone deacetylase 9	HDAC9
1552760_at	histone deacetylase 9	HDAC9
1552761_at	"solute carrier family 16, member 11 (monocarboxylic acid transporter 11)"	SLC16A11
1552763_at	transmembrane protein 67	TMEM67
1552765_x_at	transmembrane protein 67	TMEM67
1552766_at	heparan sulfate 6-O-sulfotransferase 2	HS6ST2
1552767_a_at	heparan sulfate 6-O-sulfotransferase 2	HS6ST2
1552768_at	"calcium/calmodulin-dependent protein kinase kinase 1, alpha"	CAMKK1
1552769_at	zinc finger protein 625	ZNF625
1552770_s_at	zinc finger protein 563	ZNF563
1552771_a_at	lin-9 homolog (C. elegans)	LIN9
1552772_at	"C-type lectin domain family 4, member D"	CLEC4D
1552773_at	"C-type lectin domain family 4, member D"	CLEC4D
1552774_a_at	"solute carrier family 25, member 27"	SLC25A27
1552775_at	"G protein-coupled receptor, family C, group 6, member A"	GPRC6A
1552777_a_at	retinoic acid early transcript 1E	RAET1E
1552779_a_at	"solute carrier family 44, member 5"	SLC44A5
1552782_at	"solute carrier family 44, member 5"	SLC44A5
1552783_at	zinc finger protein 417	ZNF417
1552785_at	zinc finger protein 781	ZNF781
1552787_at	helicase (DNA) B	HELB
1552788_a_at	helicase (DNA) B	HELB
1552789_at	SEC62 homolog (S. cerevisiae)	SEC62
1552790_a_at	SEC62 homolog (S. cerevisiae)	SEC62
1552791_a_at	triadin	TRDN
1552792_at	suppressor of cytokine signaling 4	SOCS4
1552793_at	chromosome 8 open reading frame 31	C8orf31
1552794_a_at	zinc finger protein 547	ZNF547
1552796_a_at	single-minded homolog 1 (Drosophila)	SIM1
1552797_s_at	prominin 2	PROM2
1552798_a_at	toll-like receptor 4	TLR4
1552799_at	t-SNARE domain containing 1	TSNARE1
1552800_at	abhydrolase domain containing 11	ABHD11
1552801_at	calpain 13	CAPN13
1552803_a_at	stathmin 1	STMN1
1552804_a_at	toll-interleukin 1 receptor (TIR) domain containing adaptor protein	TIRAP
1552806_a_at	sialic acid binding Ig-like lectin 10	SIGLEC10
1552807_a_at	sialic acid binding Ig-like lectin 10	SIGLEC10
1552808_at	ADAMTS-like 1	ADAMTSL1
1552809_at	"regulatory factor X, 4 (influences HLA class II expression)"	RFX4
1552811_at	"WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 1"	WFIKKN1
1552812_a_at	SUMO1/sentrin specific peptidase 1	SENP1
1552813_at	Kruppel-like factor 14	KLF14
1552814_a_at	Kruppel-like factor 14	KLF14
1552816_at	nucleoredoxin-like 2	NXNL2
1552818_a_at	bombesin-like receptor 3	BRS3
1552819_at	chromosome 21 open reading frame 86	C21orf86
1552822_at	thioredoxin-related transmembrane protein 3	TMX3
1552825_at	zinc finger protein 396	ZNF396
1552826_at	"solute carrier family 26, member 7"	SLC26A7
1552827_s_at	"solute carrier family 26, member 7"	SLC26A7
1552828_at	sorting nexin 18	SNX18
1552829_at		
1552830_at	F-box protein 39	FBXO39
1552833_at	"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 6 (core 3 synthase)"	B3GNT6
1552834_at	"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 6 (core 3 synthase)"	B3GNT6
1552835_at	DENN/MADD domain containing 1B	DENND1B
1552836_at	zinc finger protein 619	ZNF619
1552837_at	intestinal cell (MAK-like) kinase	ICK
1552839_at	"family with sequence similarity 71, member D"	FAM71D
1552841_s_at	BCL2-like 14 (apoptosis facilitator)	BCL2L14
1552842_at	heparan sulfate 6-O-sulfotransferase 3	HS6ST3
1552843_at	"solute carrier family 26 (sulfate transporter), member 1"	SLC26A1
1552845_at	claudin 15	CLDN15
1552846_s_at	"RAB42, member RAS oncogene family"	RAB42
1552848_a_at	patched domain containing 1	PTCHD1
1552849_at	chromosome 2 open reading frame 65	C2orf65
1552851_at	zinc finger and SCAN domain containing 4	ZSCAN4
1552852_a_at	zinc finger and SCAN domain containing 4	ZSCAN4
1552853_at	von Willebrand factor A domain containing 5B1	VWA5B1
1552854_a_at	von Willebrand factor A domain containing 5B1	VWA5B1
1552856_at	transmembrane protein 148	TMEM148
1552857_a_at	5-hydroxytryptamine (serotonin) receptor 6	HTR6
1552858_at	"melanoma antigen family B, 6"	MAGEB6
1552860_at	transcription elongation factor B polypeptide 3C (elongin A3)	TCEB3C
1552862_at	chromosome 1 open reading frame 104	C1orf104
1552863_a_at	"calcium channel, voltage-dependent, gamma subunit 6"	CACNG6
1552865_a_at	intermediate filament tail domain containing 1	IFLTD1
1552867_at		
1552868_at	chromosome 19 open reading frame 23	C19orf23
1552870_s_at	chromosome 1 open reading frame 125	C1orf125
1552872_at	non-protein coding RNA 105	NCRNA00105
1552873_s_at	non-protein coding RNA 105	NCRNA00105
1552875_a_at	CD200 receptor 1	CD200R1
1552876_at	chromosome 21 open reading frame 89	C21orf89
1552877_s_at	chromosome 21 open reading frame 89	C21orf89
1552878_at	atonal homolog 7 (Drosophila)	ATOH7
1552879_a_at	atonal homolog 7 (Drosophila)	ATOH7
1552880_at	SEC16 homolog B (S. cerevisiae)	SEC16B
1552882_a_at	family with sequence similarity 123B	FAM123B
1552884_at	NK6 homeobox 3	NKX6-3
1552885_a_at	NK6 homeobox 3	NKX6-3
1552887_at	chromosome 10 open reading frame 27	C10orf27
1552889_a_at	exocyst complex component 3-like 2	EXOC3L2
1552890_a_at	calcium binding protein 4	CABP4
1552892_at	"tumor necrosis factor receptor superfamily, member 13C"	TNFRSF13C
1552893_at	calcium/calmodulin-dependent protein kinase II inhibitor 2	CAMK2N2
1552895_a_at	chromosome 21 open reading frame 99	C21orf99
