Probe Set ID	Target Description	Gene Title	Gene Symbol	Ensembl	SwissProt	SGD accession number
10038_i_at	YLR280C questionable ORF	---	---	YLR280C	O13541	---
10039_s_at	YLR280C questionable ORF	---	---	YLR280C /// YLR281C	O13541 /// Q05863	S000004270 /// S000004271
10040_at	YLR281C similarity to polypeptide chain release factors	---	---	YLR281C	Q05863	S000004271
10041_at	YLR282C questionable ORF	---	---	YLR282C	O13542	S000004272
10042_at	YLR283W weak similarity to Smc2p	---	---	YLR283W	Q05867	S000004273
10043_at	YLR284C Peroxisomal enoyl-CoA hydratase	"Peroxisomal delta3,delta2-enoyl-CoA isomerase, hexameric protein that converts 3-hexenoyl-CoA to trans-2-hexenoyl-CoA, essential for the beta-oxidation of unsaturated fatty acids, oleate-induced"	ECI1	YLR284C	Q05871	S000004274
10044_at	YLR285W hypothetical protein	"Putative nicotinamide N-methyltransferase, has a role in rDNA silencing and in lifespan determination"	NNT1	YLR285W	Q05874	S000004275
10045_at	YLR286C Endochitinase	"Endochitinase, required for cell separation after mitosis; transcriptional activation during the G1 phase of the cell cycle is mediated by transcription factor Ace2p"	CTS1	YLR286C	P29029	S000004276
10046_at	YLR287C weak similarity to S.pombe hypothetical protein SPAC22E12	---	---	YLR287C	Q05881	S000004277
10047_f_at	YLR287C-A Ribosomal protein S30A	Protein component of the small (40S) ribosomal subunit; nearly identical to Rps30Bp and has similarity to rat S30 ribosomal protein	RPS30A	YLR287C-A	Q12087	S000004278
10048_at	YLR288C involved in checkpoint control and DNA repair	"DNA damage and meiotic pachytene checkpoint protein; subunit of a heterotrimeric complex (Rad17p-Mec3p-Ddc1p) that forms a sliding clamp, loaded onto partial duplex DNA by a clamp loader complex; homolog of human and S. pombe Hus1"	MEC3	YLR288C	Q02574 /// Q4VFT9	S000004279
10049_at	YLR289W GTPase	Mitochondrial matrix GTPase that associates with mitochondrial ribosomes; important for translation under temperature and nutrient stress; may have a role in translational fidelity; similar to bacterial LepA elongation factor	GUF1	YLR289W	P46943	S000004280
10050_at	YLR290C hypothetical protein	---	---	YLR290C	Q05892	S000004281
10051_at	"YLR291C translation initiation factor eIF2b, 43 kDa subunit\; negative regulator of GCN4 expression"	"Beta subunit of the translation initiation factor eIF2B, the guanine-nucleotide exchange factor for eIF2; activity subsequently regulated by phosphorylated eIF2; first identified as a negative regulator of GCN4 expression"	GCD7	YLR291C	P32502	S000004282
10052_at	YLR292C protein involved in membrane protein insertion into the ER	"Non-essential subunit of Sec63 complex (Sec63p, Sec62p, Sec66p and Sec72p); with Sec61 complex, Kar2p/BiP and Lhs1p forms a channel competent for SRP-dependent and post-translational SRP-independent protein targeting and import into the ER"	SEC72	YLR292C	P39742	S000004283
10053_at	YLR293C GTP-binding protein	"Ran GTPase, GTP binding protein (mammalian Ranp homolog) involved in the maintenance of nuclear organization, RNA processing and transport; regulated by Prp20p, Rna1p, Yrb1p, Yrb2p, Yrp4p, Yrb30p, Cse1p and Kap95p; yeast Gsp2p homolog"	GSP1	YLR293C	P32835	S000004284
10054_at	YLR294C questionable ORF	---	---	YLR294C	O13543	S000004285
10055_at	YLR253W weak similarity to bacterial aminoglycoside acetyltransferase regulators	---	---	YLR253W	Q06567	S000004243
10056_at	YLR254C hypothetical protein	"Homolog of nuclear distribution factor NudE, NUDEL; interacts with Pac1p and regulates dynein targeting to microtubule plus ends"	NDL1	YLR254C	Q06568	S000004244
10057_at	YLR255C hypothetical protein	---	---	YLR255C	O13574	S000004245
10058_at	YLR256W zinc-finger transcription factor of the Zn(2)-Cys(6) binuclear cluster domain type	Zinc finger transcription factor involved in the complex regulation of gene expression in response to levels of heme and oxygen; the S288C sequence differs from other strain backgrounds due to a Ty1 insertion in the carboxy terminus	HAP1	YLR256W	P12351	S000004246
10059_at	YLR257W hypothetical protein	---	---	YLR257W	Q06146	S000004247
10060_at	YLR258W Glycogen synthase (UDP-gluocse--starch glucosyltransferase)	"Glycogen synthase, similar to Gsy1p; expression induced by glucose limitation, nitrogen starvation, heat shock, and stationary phase; activity regulated by cAMP-dependent, Snf1p and Pho85p kinases as well as by the Gac1p-Glc7p phosphatase"	GSY2	YLR258W	P27472	S000004248
10061_at	YLR259C heat shock protein 60\; chaperonin protein	Tetradecameric mitochondrial chaperonin required for ATP-dependent folding of precursor polypeptides and complex assembly; prevents aggregation and mediates protein refolding after heat shock; role in mtDNA transmission; phosphorylated	HSP60	YLR259C	P19882	S000004249
10062_at	YLR260W sphingoid long chain base (LCB) kinase	"Minor sphingoid long-chain base kinase, paralog of Lcb4p responsible for few percent of the total activity, possibly involved in synthesis of long-chain base phosphates, which function as signaling molecules"	LCB5	YLR260W	Q06147	S000004250
10063_i_at	YLR261C questionable ORF	---	---	YLR261C	O13549	---
10064_s_at	YLR261C questionable ORF	"Dubious open reading frame, unlikely to encode a protein; not conserved in closely related Saccharomyces species; 98% of ORF overlaps the verified gene YPT6; deletion causes a vacuolar protein sorting defect /// GTPase, Ras-like GTP binding protein involved in the secretory pathway, required for fusion of endosome-derived vesicles with the late Golgi, maturation of the vacuolar carboxypeptidase Y; has similarity to the human GTPase, Rab6"	VPS63 /// YPT6	YLR261C /// YLR262C	O13549 /// Q99260	S000004251 /// S000004252
10065_at	"YLR262C highly homologous to the human GTPase, Rab6"	"GTPase, Ras-like GTP binding protein involved in the secretory pathway, required for fusion of endosome-derived vesicles with the late Golgi, maturation of the vacuolar carboxypeptidase Y; has similarity to the human GTPase, Rab6"	YPT6	YLR262C	Q99260	S000004252
10066_s_at	YLR262C-A strong similarity to F49C12.11 (Z68227_K) from C. elegans	"Protein of unknown that associates with ribosomes; null mutant exhibits translation defects, altered polyribosome profiles, and resistance to the translation inhibitor anisomcyin"	TMA7	YLR262C-A	Q3E764	S000007246
10067_at	YLR263W Meiosis-specific protein involved in homologous chromosome synapsis and chiasmata formation\; localizes to chromosome cores independently of Mei4p and Spo11p\; mRNA is induced in meiosis	"Protein component of the axial elements of the synaptonemal complex, involved in chromosome segregation during the first meiotic division; interacts with Hop1p; required for wild-type levels of Mek1p kinase activity"	RED1	YLR263W	P14291	S000004253
10068_i_at	YLR264W Ribosomal protein S28B (S33B) (YS27)	Protein component of the small (40S) ribosomal subunit; nearly identical to Rps28Ap and has similarity to rat S28 ribosomal protein	RPS28B	YLR264W	P0C0X0	S000004254
10069_f_at	YLR264W Ribosomal protein S28B (S33B) (YS27)	Protein component of the small (40S) ribosomal subunit; nearly identical to Rps28Ap and has similarity to rat S28 ribosomal protein	RPS28B	YLR264W	P0C0X0	S000004254
10070_at	YLR265C hypothetical protein	Protein involved in regulation of nonhomologous end joining; interacts with DNA ligase IV components Dnl4p and Lif1p; repressed by MAT heterozygosity; regulates cellular distribution of Lif1p	NEJ1	YLR265C	Q06148	S000004255
10071_at	YLR266C weak similarity to transcription factors	"Transcription factor; targets include ATP-binding cassette (ABC) transporters, major facilitator superfamily transporters, and other genes involved in the pleiotropic drug resistance (PDR) phenomenon"	PDR8	YLR266C	Q06149	S000004256
10072_at	YLR267W Bypass of PAM1	Protein of unknown function	BOP2	YLR267W	Q06150	S000004257
10073_at	YLR268W Synaptobrevin (v-SNARE) homolog present on ER to Golgi vesicles	"R-SNARE protein; assembles into SNARE complex with Bet1p, Bos1p and Sed5p; cycles between the ER and Golgi complex; involved in anterograde and retrograde transport between the ER and Golgi; synaptobrevin homolog"	SEC22	YLR268W	P22214	S000004258
10074_at	YLR269C questionable ORF	---	---	YLR269C	O13550	S000004259
10075_at	YLR270W strong similarity to YOR173w	"Non-essential hydrolase involved in mRNA decapping, may function in a feedback mechanism to regulate deadenylation, contains pyrophosphatase activity and a HIT (histidine triad) motif; interacts with neutral trehalase Nth1p"	DCS1	YLR270W	Q06151	S000004260
10076_at	YLR271W hypothetical protein	---	---	YLR271W	Q06152	S000004261
10077_at	YLR272C similarity to human hypothetical ORF	"Subunit of the condensin complex; required for establishment and maintenance of chromosome condensation, chromosome segregation, chromatin binding of condensin, tRNA gene clustering at the nucleolus, and silencing at the mating type locus"	YCS4	YLR272C	Q06156	S000004262
10078_at	"YLR273C Protein similar to Gac1p, a putative type 1 protein phosphatase targeting subunit"	Putative targeting subunit for the type-1 protein phosphatase Glc7p that tethers it to the Gsy2p glycogen synthase	PIG1	YLR273C	Q06216 /// Q66R48	S000004263
10079_at	YLR232W questionable ORF	---	---	YLR232W	O13546	S000004222
10080_at	YLR233C Telomere elongation protein (ever shorter telomeres)	"TLC1 RNA-associated factor involved in telomere length regulation as the recruitment subunit of the telomerase holoenzyme, has a possible role in activating Est2p-TLC1-RNA bound to the telomere"	EST1	YLR233C	P17214	S000004223
10081_at	YLR234W DNA Topoisomerase III	"DNA Topoisomerase III, conserved protein that functions in a complex with Sgs1p and Rmi1p to relax single-stranded negatively-supercoiled DNA preferentially, involved in telomere stability and regulation of mitotic recombination"	TOP3	YLR234W	P13099	S000004224
10082_at	YLR235C questionable ORF	---	---	YLR235C	---	S000004225
10083_g_at	YLR235C questionable ORF	---	---	YLR235C /// YLR236C	---	S000004225 /// S000004226
10084_at	YLR236C hypothetical protein	---	---	YLR236C	---	S000004226
10085_at	YLR237W thiamine transporter	"Plasma membrane transporter responsible for the uptake of thiamine, member of the major facilitator superfamily of transporters; mutation of human ortholog causes thiamine-responsive megaloblastic anemia"	THI7	YLR237W	Q05998	S000004227
10086_at	YLR238W similarity to YDR200c	"Protein involved in G1 cell cycle arrest in response to pheromone, in a pathway different from the Far1p-dependent pathway; interacts with Far3p, Far7p, Far8p, Far9p, and Far11p; potential Cdc28p substrate"	FAR10	YLR238W	Q06001	S000004228
10087_at	YLR239C weak similarity to H.influenzae lipoate biosynthesis protein B	"Lipoyl ligase, involved in the modification of mitochondrial enzymes by the attachment of lipoic acid groups"	LIP2	YLR239C	Q06005	S000004229
10088_at	YLR240W phosphatidylinositol 3-kinase	Phosphatidylinositol 3-kinase responsible for the synthesis of phosphatidylinositol 3-phosphate; forms membrane-associated signal transduction complex with Vps15p to regulate protein sorting; activated by the GTP-bound form of Gpa1p	VPS34	YLR240W	P22543	S000004230
10089_at	YLR241W similarity to hypothetical S.pombe protein SPAC2G11.09	---	---	YLR241W	Q06538	S000004231
10090_at	YLR242C weak similarity to C.elegans R05H5.5 protein and Nup120p	Protein functioning in transport of glycosylphosphatidylinositol intermediates into the ER lumen; required for normal intracellular sterol distribution and for sphingolipid metabolism; similar to Nup120p and C. elegans R05H5.5 protein	ARV1	YLR242C	Q06541	S000004232
10091_at	YLR243W strong similarity to YOR262w	---	---	YLR243W	Q06543	S000004233
10092_at	YLR244C methionine aminopeptidase	"Methionine aminopeptidase, catalyzes the cotranslational removal of N-terminal methionine from nascent polypeptides; function is partially redundant with that of Map2p"	MAP1	YLR244C	Q01662	S000004234
10093_at	YLR245C strong similarity to B.subtilis cytidine deaminase	"Cytidine deaminase; catalyzes the modification of cytidine to uridine in vitro but native RNA substrates have not been identified, localizes to both the nucleus and cytoplasm"	CDD1	YLR245C	Q06549	S000004235
10094_at	YLR246W similarity to human DHHC-domain-containing cysteine-rich protein	"Subunit of a palmitoyltransferase, composed of Erf2p and Shr5p, that adds a palmitoyl lipid moiety to heterolipidated substrates such as Ras1p and Ras2p through a thioester linkage; mutants partially mislocalize Ras2p to the vacuole"	ERF2	YLR246W	Q06551	S000004236
10095_at	YLR247C similarity to S.pombe rad8 protein and Rdh54p	Putative helicase; localizes to the mitochondrion and the nucleus; YLR247C is not an essential gene; null mutant displays increased levels of spontaneous Rad52p foci	IRC20	YLR247C	Q06554	S000004237
10096_at	YLR248W Serine\/threonine protein kinase	Protein kinase involved in the response to oxidative and osmotic stress; identified as suppressor of S. pombe cell cycle checkpoint mutations	RCK2	YLR248W	P38623	S000004238
10097_at	YLR249W EF-3 (translational elongation factor 3)	"Translational elongation factor 3, stimulates the binding of aminoacyl-tRNA (AA-tRNA) to ribosomes by releasing EF-1 alpha from the ribosomal complex; contains two ABC cassettes; binds and hydrolyses ATP"	YEF3	YLR249W	P16521	S000004239
10098_at	YLR250W secretory protein	Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern	SSP120	YLR250W	P39931	S000004240
10099_at	YLR251W similarity to peroxisomal rat membrane protein PMP22	Protein required for ethanol metabolism; induced by heat shock and localized to the inner mitochondrial membrane; homologous to mammalian peroxisomal membrane protein Mpv17	SYM1	YLR251W	Q06563	S000004241
10100_at	YLR252W questionable ORF	---	---	YLR252W	O13573	S000004242
10101_at	YLR209C strong similarity to purine-nucleoside phosphorylases	"Purine nucleoside phosphorylase, specifically metabolizes inosine and guanosine nucleosides; involved in the nicotinamide riboside salvage pathway"	PNP1	YLR209C	Q05788	S000004199
10102_at	YLR210W G(sub)2-specific B-type cyclin	"B-type cyclin involved in cell cycle progression; activates Cdc28p to promote the G2/M transition; may be involved in DNA replication and spindle assembly; accumulates during S phase and G2, then targeted for ubiquitin-mediated degradation"	CLB4	YLR210W	P24871	S000004200
10103_at	YLR211C hypothetical protein	---	---	YLR211C	Q05789	S000004201
10104_at	"YLR212C gamma tubulin-like protein, interacts with Spc98p and Spc97p, the Tub4p-Spc98p-Spc97p complex may be part of the microtubule attachment site at the spindle pole body"	"Gamma-tubulin, involved in nucleating microtubules from both the cytoplasmic and nuclear faces of the spindle pole body"	TUB4	YLR212C	P53378	S000004202
10105_at	YLR213C similarity to UTR2 protein	"Putative glycoside hydrolase of the spore wall envelope; required for normal spore wall assembly, possibly for cross-linking between the glucan and chitosan layers; expressed during sporulation"	CRR1	YLR213C	Q05790	S000004203
10106_at	YLR214W Ferric (and cupric) reductase	"Ferric reductase and cupric reductase, reduces siderophore-bound iron and oxidized copper prior to uptake by transporters; expression induced by low copper and iron levels"	FRE1	YLR214W	P32791	S000004204
10107_at	YLR215C strong similarity to rat cell cycle progression related D123 protein	Protein involved in nutritional control of the cell cycle; regulates abundance of the translation initiation factor eIF2; ortholog of human D123 protein	CDC123	YLR215C	Q05791	S000004205
10108_at	YLR216C a cyclophilin related to the mammalian CyP-40\; physically interacts with RPD3 gene product	"Peptidyl-prolyl cis-trans isomerase (cyclophilin), catalyzes the cis-trans isomerization of peptide bonds N-terminal to proline residues; binds to Hsp82p and contributes to chaperone activity"	CPR6	YLR216C	P53691	S000004206
10109_at	YLR217W questionable ORF	---	---	YLR217W	O13532	S000004207
10110_at	YLR218C hypothetical protein	---	---	YLR218C	Q05809	S000004208
10111_at	YLR219W hypothetical protein	"Protein of unknown function, green fluorescent protein (GFP)-fusion protein localizes to the cell periphery; msc3 mutants are defective in directing meiotic recombination events to homologous chromatids; potential Cdc28p substrate"	MSC3	YLR219W	Q05812	S000004209
10112_at	YLR220W Possible transmembrane Ca2+ transporter	"Putative vacuolar Fe2+/Mn2+ transporter; suppresses respiratory deficit of yfh1 mutants, which lack the ortholog of mammalian frataxin, by preventing mitochondrial iron accumulation"	CCC1	YLR220W	P47818	S000004210
10113_at	YLR221C hypothetical protein	"Protein with a likely role in ribosomal maturation, required for accumulation of wild-type levels of large (60S) ribosomal subunits; binds to the helicase Dbp6p in pre-60S ribosomal particles in the nucleolus"	RSA3	YLR221C	Q05942	S000004211
10114_at	YLR222C similarity to Dip2p	"Nucleolar protein, component of the small subunit (SSU) processome containing the U3 snoRNA that is involved in processing of pre-18S rRNA"	UTP13	YLR222C	Q05946	S000004212
10115_at	YLR223C has a weak RNA-dependent ATPase activity which is not specific for rRNA	"Essential protein with a highly acidic N-terminal domain; IFH1 exhibits genetic interactions with FHL1, overexpression interferes with silencing at telomeres and HM loci; potential Cdc28p substrate"	IFH1	YLR223C	P39520	S000004213
10116_at	YLR224W hypothetical protein	---	---	YLR224W	Q05947	S000004214
10117_at	YLR225C strong similarity to YDR222w	---	---	YLR225C	Q05948	S000004215
10118_at	YLR226W hypothetical protein	Cyclin for the Sgv1p (Bur1p) protein kinase; Sgv1p and Bur2p comprise a CDK-cyclin complex involved in transcriptional regulation through its phosphorylation of the carboxy-terminal domain of the largest subunit of RNA polymerase II	BUR2	YLR226W	Q05949	S000004216
10119_at	YLR227C hypothetical protein	"Structural component of the meiotic outer plaque, which is a membrane-organizing center that assembles on the cytoplasmic face of the spindle pole body during meiosis II and triggers the formation of the prospore membrane"	ADY4	YLR227C	Q05955	S000004217
10120_at	"YLR228C strong similarity to YDR213w, weak similarity to Lys14p"	"Sterol regulatory element binding protein, regulates transcription of sterol biosynthetic genes; contains Zn[2]-Cys[6] binuclear cluster; homologous to Upc2p; relocates from intracellular membranes to perinuclear foci on sterol depletion"	ECM22	YLR228C	Q05958	S000004218
10121_at	YLR229C member of the Rho subfamily of Ras-like proteins	"Small rho-like GTPase, essential for establishment and maintenance of cell polarity; mutants have defects in the organization of actin and septins"	CDC42	YLR229C	P19073	S000004219
10122_at	YLR230W questionable ORF	---	---	YLR230W	---	S000004220
10123_at	YLR231C strong similarity to rat kynureninase	"Kynureninase, required for the de novo biosynthesis of NAD from tryptophan via kynurenine; expression regulated by Hst1p"	BNA5	YLR231C	Q05979	S000004221
10124_at	YLR189C similarity to P.aeruginosa rhamnosyltransferase 1 chain B	"UDP-glucose:sterol glucosyltransferase, conserved enzyme involved in synthesis of sterol glucoside membrane lipids; in contrast to ATG26 from P. pastoris, S. cerevisiae ATG26 is not involved in autophagy"	ATG26	YLR189C	Q06321	S000004179
10125_at	YLR190W hypothetical protein	"Phosphorylated protein of the mitochondrial outer membrane, localizes only to mitochondria of the bud; interacts with Myo2p to mediate mitochondrial distribution to buds; mRNA is targeted to the bud via the transport system involving She2p"	MMR1	YLR190W	Q06324	S000004180
10126_at	YLR191W Peroxisomal membrane protein that contains Src homology 3 (SH3) domain	"Integral peroxisomal membrane required for the translocation of peroxisomal matrix proteins, interacts with the PTS1 signal recognition factor Pex5p and the PTS2 signal recognition factor Pex7p, forms a complex with Pex14p and Pex17p"	PEX13	YLR191W	P80667	S000004181
10127_at	YLR192C weak similarity to fruit fly transcription factor 5 large chain	Dual function protein involved in translation initiation as a substoichiometric component of eukaryotic translation initiation factor 3 (eIF3) and required for processing of 20S pre-rRNA; binds to eIF3 subunits Rpg1p and Prt1p and 18S rRNA	HCR1	YLR192C	Q05775	S000004182
10128_at	YLR193C similarity to G.gallus px19 and Msf1p	Mitochondrial intermembrane space protein that regulates alternative processing and sorting of Mgm1p and other proteins; required for normal mitochondrial morphology; ortholog of human PRELI	UPS1	YLR193C	Q05776	S000004183
10129_at	YLR194C hypothetical protein	---	---	YLR194C	Q05777	S000004184
10130_at	YLR195C N-myristoyl transferase	"N-myristoyl transferase, catalyzes the cotranslational, covalent attachment of myristic acid to the N-terminal glycine residue of several proteins involved in cellular growth and signal transduction"	NMT1	YLR195C	P14743	S000004185
10131_at	YLR196W Protein with periodic trytophan residues that resembles members of beta-transducin superfamily because of presence of WD-40 repeats	Protein with WD-40 repeats involved in rRNA processing; associates with trans-acting ribosome biogenesis factors; similar to beta-transducin superfamily	PWP1	YLR196W	P21304	S000004186
10132_at	YLR197W homology to microtubule binding proteins and to X90565_5.cds	Essential evolutionarily-conserved nucleolar protein component of the box C/D snoRNP complexes that direct 2'-O-methylation of pre-rRNA during its maturation; overexpression causes spindle orientation defects	NOP56	YLR197W	Q12460	S000004187
10133_at	YLR198C questionable ORF	---	---	YLR198C	O13530	S000004188
10134_at	YLR199C hypothetical protein	Protein involved in 20S proteasome assembly; forms a heterodimer with Add66p that binds to proteasome precursors; similar to human PAC1 constituent of the PAC1-PAC2 complex involved in proteasome assembly	PBA1	YLR199C	Q05778	S000004189
10135_at	"YLR200W Polypeptide 6 of a Yeast Non-native Actin Binding Complex, homolog of a component of the bovine NABC complex"	"Subunit of the heterohexameric Gim/prefoldin protein complex involved in the folding of alpha-tubulin, beta-tubulin, and actin"	YKE2	YLR200W	P52553	S000004190
10136_at	YLR201C similarity to hypothetical S. pombe protein	Protein required for ubiquinone (coenzyme Q) biosynthesis and respiratory growth; localizes to the matrix face of the mitochondrial inner membrane in a large complex with ubiquinone biosynthetic enzymes	COQ9	YLR201C	Q05779	S000004191
10137_at	YLR202C questionable ORF	---	---	YLR202C	O13531	S000004192
