Probe Set ID	Target Description	Gene Title	Gene Symbol	Gene Ontology Biological Process	Gene Ontology Cellular Component	Gene Ontology Molecular Function
AF134153_at	BEST BLASTX NR: 11/06/02 AAD55363.1   3e-92 (AF134153) cysteine protease [Hordeum vulgare] [Hordeum vulgare subsp. vulgare]	---	---	0006508 // proteolysis // inferred from electronic annotation	---	0004197 // cysteine-type endopeptidase activity // inferred from electronic annotation /// 0008233 // peptidase activity // inferred from electronic annotation /// 0008234 // cysteine-type peptidase activity // inferred from electronic annotation
AF146269_at	BEST BLASTX NR: 11/06/02 AAF21362.1   e-156 (AF146269) resistance gene analog PIC22 [Oryza sativa]	---	---	0006915 // apoptosis // inferred from electronic annotation	---	0005524 // ATP binding // inferred from electronic annotation
AF146270_at	BEST BLASTX NR: 11/06/02 AAF21363.1   8e-94 (AF146270) resistance gene analog PIC23 [Oryza sativa]	---	---	0006915 // apoptosis // inferred from electronic annotation	---	0005524 // ATP binding // inferred from electronic annotation
AF146271_at	BEST BLASTX NR: 11/06/02 AAF21364.1   2e-48 (AF146271) resistance gene analog PIC24 [Oryza sativa]	---	---	0006915 // apoptosis // inferred from electronic annotation	---	0005524 // ATP binding // inferred from electronic annotation
AF146272_at	BEST BLASTX NR: 11/06/02 AAF21365.1   7e-84 (AF146272) resistance gene analog PIC25 [Hordeum vulgare]	---	---	0006915 // apoptosis // inferred from electronic annotation	---	0005524 // ATP binding // inferred from electronic annotation
AF146272_s_at	BEST BLASTX NR: 11/06/02 AAF21365.1   7e-84 (AF146272) resistance gene analog PIC25 [Hordeum vulgare]	---	---	0006915 // apoptosis // inferred from electronic annotation	---	0005524 // ATP binding // inferred from electronic annotation
AF146273_at	BEST BLASTX NR: 11/06/02 AAF21366.1   3e-55 (AF146273) resistance gene analog PIC25-1 [Hordeum vulgare]	---	---	0006915 // apoptosis // inferred from electronic annotation	---	0005524 // ATP binding // inferred from electronic annotation
AF146274_at	BEST BLASTX NR: 11/06/02 AAF21367.1   3e-48 (AF146274) resistance gene analog PIC26 [Hordeum vulgare]	---	---	0006915 // apoptosis // inferred from electronic annotation	---	0005524 // ATP binding // inferred from electronic annotation
AF250937_s_at	BEST BLASTX NR: 11/06/02 AAG00429.1   e-104 (AF250937) germin E [Hordeum vulgare]	---	---	---	0048046 // apoplast // inferred from electronic annotation	0030145 // manganese ion binding // inferred from electronic annotation /// 0045735 // nutrient reservoir activity // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation
AF254799_CDS-2_at	BEST BLASTX NR: 11/06/02 AAF90122.1   e-145 (AF254799) tonoplast intrinsic protein 2 [Hordeum vulgare]	---	---	---	---	---
AF273681.1_s_at	"Pseudomonas syringae pv. syringae strain 7B12 APH(3 ) streptomycin phosphotransferase (strA) gene, complete cds"	---	---	---	---	---
AF348460_at	BEST BLASTX NR: 11/06/02 AAL02091.1   3e-25 (AF348460) cryptochrome 2 [Hordeum vulgare]	---	---	---	---	---
AF414172_at	BEST BLASTX NR: 11/06/02 AAL07812.1   0.0 (AF414172) NBS-LRR-like protein [Hordeum vulgare] [Hordeum vulgare subsp. vulgare]	---	---	0006915 // apoptosis // inferred from electronic annotation	---	0005524 // ATP binding // inferred from electronic annotation
AF414174_at	BEST BLASTX NR: 11/06/02 AAL07813.1   0.0 (AF414174) NBS-LRR-like protein [Hordeum vulgare] [Hordeum vulgare subsp. vulgare]	---	---	0006915 // apoptosis // inferred from electronic annotation	---	0005524 // ATP binding // inferred from electronic annotation
AF414175_at	BEST BLASTX NR: 11/06/02 AAL07814.1   0.0 (AF414175) NBS-LRR-like protein [Hordeum vulgare] [Hordeum vulgare subsp. vulgare]	---	---	0006915 // apoptosis // inferred from electronic annotation	---	0005524 // ATP binding // inferred from electronic annotation
AF414176_at	BEST BLASTX NR: 11/06/02 AAL07815.1   0.0 (AF414176) NBS-LRR-like protein [Hordeum vulgare] [Hordeum vulgare subsp. vulgare]	---	---	0006915 // apoptosis // inferred from electronic annotation	---	0005524 // ATP binding // inferred from electronic annotation
AF414177_at	BEST BLASTX NR: 11/06/02 AAL07816.1   0.0 (AF414177) NBS-LRR-like protein [Hordeum vulgare] [Hordeum vulgare subsp. vulgare]	---	---	0006915 // apoptosis // inferred from electronic annotation	---	0000166 // nucleotide binding // inferred from electronic annotation /// 0005524 // ATP binding // inferred from electronic annotation
AF414179_at	BEST BLASTX NR: 11/06/02 AAL07817.1   0.0 (AF414179) NBS-LRR-like protein [Hordeum vulgare] [Hordeum vulgare subsp. vulgare]	---	---	0006915 // apoptosis // inferred from electronic annotation	---	0005524 // ATP binding // inferred from electronic annotation
AF427791_CDS-10_at	BEST BLASTX NR: 11/06/02 AAM22819.1   0.0 (AF427791) RGH2B [Hordeum vulgare] gb|AAM22820.1|AF427791_11 (AF427791) RGH2A [Hordeum vulgare]	---	---	---	---	---
AF427791_CDS-12_at	BEST BLASTX NR: 11/06/02 AAM22821.1   8e-83 (AF427791) HV80H14.11B [Hordeum vulgare] gb|AAM22822.1|AF427791_13 (AF427791) HV80H14.11A [Hordeum vulgare]	---	---	---	---	---
AF427791_CDS-13_at	BEST BLASTX NR: 11/06/02 AAM22823.1   1e-50 (AF427791) HV80H14.10B [Hordeum vulgare] gb|AAM22824.1|AF427791_15 (AF427791) HV80H14.10A [Hordeum vulgare]	---	---	---	---	---
AF427791_CDS-14_at	BEST BLASTX NR: 11/06/02 AAM08613.1   e-124 (AC107314) Putative disease resistance gene [Oryza sativa (japonica cultivar-group)]	---	---	---	---	---
AF427791_CDS-23_at	BEST BLASTX NR: 11/06/02 AAM22825.1   2e-86 (AF427791) HV80H14.8 [Hordeum vulgare]	---	---	---	---	---
AF427791_CDS-25_at	BEST BLASTX NR: 11/06/02 AAM22827.1   2e-34 CI2E [Hordeum vulgare]	---	---	---	---	---
AF427791_CDS-2_at	BEST BLASTX NR: 11/06/02 AAM22835.1   2e-29 (AF427791) hv711N16.15 [Hordeum vulgare]	---	---	---	---	---
AF427791_CDS-3_at	BEST BLASTX NR: 11/06/02 AAM22811.1   6e-57 (AF427791) HV711N16.14 [Hordeum vulgare]	---	---	---	---	---
AF427791_CDS-9_at	BEST BLASTX NR: 11/06/02 AAM22817.1   e-119 (AF427791) HV80H14.14B [Hordeum vulgare] gb|AAM22818.1|AF427791_9 (AF427791) hv80H14.14a [Hordeum vulgare]	---	---	---	---	---
AF442489_at	BEST BLASTX NR: 11/06/02 AAM13419.1   e-111 (AF442489) CRT/DRE binding factor 2 [Hordeum vulgare subsp. vulgare]	---	---	"0006350 // transcription // inferred from electronic annotation /// 0006355 // regulation of transcription, DNA-dependent // inferred from electronic annotation"	0005634 // nucleus // inferred from electronic annotation	0003677 // DNA binding // inferred from electronic annotation /// 0003700 // transcription factor activity // inferred from electronic annotation
AF474072_CDS-1_at	BEST BLASTX NR: 11/06/02 AAM13439.1   0.0 (AF474072) similar to putative receptor protein kinase from A. thaliana [Hordeum vulgare subsp. vulgare]	---	---	---	---	---
AF474072_CDS-2_at	BEST BLASTX NR: 11/06/02 AAM13440.1   2e-80 (AF474072) Hypothetical protein [Hordeum vulgare subsp. vulgare]	---	---	---	---	---
AF474072_CDS-4_at	BEST BLASTX NR: 11/06/02 AAM13442.1   2e-71 (AF474072) similar to A. thaliana C3HC4-type RING zinc finger protein AB005237 [Hordeum vulgare subsp. vulgare]	---	---	---	---	---
AF474373_CDS-10_at	BEST BLASTX NR: <none>	---	---	---	---	---
AF474373_CDS-1_at	BEST BLASTX NR: 11/06/02 AAL77104.1   3e-96 (AF474373) putative leucine aminopeptidase [Hordeum vulgare] [Hordeum vulgare subsp. vulgare]	---	---	---	---	---
AF474373_CDS-2_at	BEST BLASTX NR: 11/06/02 AAL77105.1   6e-70 (AF474373) unknown [Hordeum vulgare] [Hordeum vulgare subsp. vulgare]	---	---	---	---	---
AF474373_CDS-4_at	BEST BLASTX NR: 11/06/02 AAL77107.1   e-102 (AF474373) hypothetical protein [Hordeum vulgare] [Hordeum vulgare subsp. vulgare]	---	---	---	---	---
AF474373_CDS-5_at	BEST BLASTX NR: 11/06/02 AAL77108.1   7e-80 (AF474373) hypothetical protein [Hordeum vulgare] [Hordeum vulgare subsp. vulgare]	---	---	---	---	---
AF474373_CDS-8_at	BEST BLASTX NR: 11/06/02 AAL77111.1   1e-58 (AF474373) hypothetical protein [Hordeum vulgare] [Hordeum vulgare subsp. vulgare]	---	---	---	---	---
AF474982_CDS-2_at	BEST BLASTX NR: 11/06/02 AAL85698.1   3e-91 (AF474982) hypothetical protein [Hordeum vulgare subsp. vulgare]	---	---	---	---	---
AF474982_CDS-3_at	BEST BLASTX NR: 11/06/02 AAL85699.1   6e-47 (AF474982) hypothetical protein [Hordeum vulgare subsp. vulgare]	---	---	---	---	---
AF509747.1_at	---	---	---	0006468 // protein amino acid phosphorylation // inferred from electronic annotation /// 0030001 // metal ion transport // inferred from electronic annotation	---	0004672 // protein kinase activity // inferred from electronic annotation /// 0004674 // protein serine/threonine kinase activity // inferred from electronic annotation /// 0005524 // ATP binding // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation
AFFX-BioB-3_at	"E. coli /GEN=bioB /DB_XREF=gb:J04423.1 /NOTE=SIF corresponding to nucleotides 2755-3052 of gb:J04423.1 /DEF=E.coli 7,8-diamino-pelargonic acid (bioA), biotin synthetase (bioB), 7-keto-8-amino-pelargonic acid synthetase (bioF), bioC protein, and dethiobiotin synthetase (bioD), complete cds."	---	---	0008152 // metabolic process // inferred from electronic annotation /// 0009058 // biosynthetic process // inferred from electronic annotation /// 0009102 // biotin biosynthetic process // inferred from electronic annotation /// 0009236 // cobalamin biosynthetic process // inferred from electronic annotation	0005737 // cytoplasm // inferred from electronic annotation	"0000166 // nucleotide binding // inferred from electronic annotation /// 0000287 // magnesium ion binding // inferred from electronic annotation /// 0003824 // catalytic activity // inferred from electronic annotation /// 0004015 // adenosylmethionine-8-amino-7-oxononanoate transaminase activity // inferred from electronic annotation /// 0004076 // biotin synthase activity // inferred from electronic annotation /// 0004141 // dethiobiotin synthase activity // inferred from electronic annotation /// 0005506 // iron ion binding // inferred from electronic annotation /// 0005524 // ATP binding // inferred from electronic annotation /// 0008168 // methyltransferase activity // inferred from electronic annotation /// 0008483 // transaminase activity // inferred from electronic annotation /// 0008710 // 8-amino-7-oxononanoate synthase activity // inferred from electronic annotation /// 0016740 // transferase activity // inferred from electronic annotation /// 0016769 // transferase activity, transferring nitrogenous groups // inferred from electronic annotation /// 0016874 // ligase activity // inferred from electronic annotation /// 0030170 // pyridoxal phosphate binding // inferred from electronic annotation /// 0042242 // cobyrinic acid a,c-diamide synthase activity // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation /// 0051536 // iron-sulfur cluster binding // inferred from electronic annotation /// 0051537 // 2 iron, 2 sulfur cluster binding // inferred from electronic annotation /// 0051539 // 4 iron, 4 sulfur cluster binding // inferred from electronic annotation"
AFFX-BioB-5_at	"E. coli /GEN=bioB /DB_XREF=gb:J04423.1 /NOTE=SIF corresponding to nucleotides 2032-2305 of gb:J04423.1 /DEF=E.coli 7,8-diamino-pelargonic acid (bioA), biotin synthetase (bioB), 7-keto-8-amino-pelargonic acid synthetase (bioF), bioC protein, and dethiobiotin synthetase (bioD), complete cds."	---	---	0008152 // metabolic process // inferred from electronic annotation /// 0009058 // biosynthetic process // inferred from electronic annotation /// 0009102 // biotin biosynthetic process // inferred from electronic annotation /// 0009236 // cobalamin biosynthetic process // inferred from electronic annotation	0005737 // cytoplasm // inferred from electronic annotation	"0000166 // nucleotide binding // inferred from electronic annotation /// 0000287 // magnesium ion binding // inferred from electronic annotation /// 0003824 // catalytic activity // inferred from electronic annotation /// 0004015 // adenosylmethionine-8-amino-7-oxononanoate transaminase activity // inferred from electronic annotation /// 0004076 // biotin synthase activity // inferred from electronic annotation /// 0004141 // dethiobiotin synthase activity // inferred from electronic annotation /// 0005506 // iron ion binding // inferred from electronic annotation /// 0005524 // ATP binding // inferred from electronic annotation /// 0008168 // methyltransferase activity // inferred from electronic annotation /// 0008483 // transaminase activity // inferred from electronic annotation /// 0008710 // 8-amino-7-oxononanoate synthase activity // inferred from electronic annotation /// 0016740 // transferase activity // inferred from electronic annotation /// 0016769 // transferase activity, transferring nitrogenous groups // inferred from electronic annotation /// 0016874 // ligase activity // inferred from electronic annotation /// 0030170 // pyridoxal phosphate binding // inferred from electronic annotation /// 0042242 // cobyrinic acid a,c-diamide synthase activity // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation /// 0051536 // iron-sulfur cluster binding // inferred from electronic annotation /// 0051537 // 2 iron, 2 sulfur cluster binding // inferred from electronic annotation /// 0051539 // 4 iron, 4 sulfur cluster binding // inferred from electronic annotation"
AFFX-BioB-M_at	"E. coli /GEN=bioB /DB_XREF=gb:J04423.1 /NOTE=SIF corresponding to nucleotides 2482-2739 of gb:J04423.1 /DEF=E.coli 7,8-diamino-pelargonic acid (bioA), biotin synthetase (bioB), 7-keto-8-amino-pelargonic acid synthetase (bioF), bioC protein, and dethiobiotin synthetase (bioD), complete cds."	---	---	0008152 // metabolic process // inferred from electronic annotation /// 0009058 // biosynthetic process // inferred from electronic annotation /// 0009102 // biotin biosynthetic process // inferred from electronic annotation /// 0009236 // cobalamin biosynthetic process // inferred from electronic annotation	0005737 // cytoplasm // inferred from electronic annotation	"0000166 // nucleotide binding // inferred from electronic annotation /// 0000287 // magnesium ion binding // inferred from electronic annotation /// 0003824 // catalytic activity // inferred from electronic annotation /// 0004015 // adenosylmethionine-8-amino-7-oxononanoate transaminase activity // inferred from electronic annotation /// 0004076 // biotin synthase activity // inferred from electronic annotation /// 0004141 // dethiobiotin synthase activity // inferred from electronic annotation /// 0005506 // iron ion binding // inferred from electronic annotation /// 0005524 // ATP binding // inferred from electronic annotation /// 0008168 // methyltransferase activity // inferred from electronic annotation /// 0008483 // transaminase activity // inferred from electronic annotation /// 0008710 // 8-amino-7-oxononanoate synthase activity // inferred from electronic annotation /// 0016740 // transferase activity // inferred from electronic annotation /// 0016769 // transferase activity, transferring nitrogenous groups // inferred from electronic annotation /// 0016874 // ligase activity // inferred from electronic annotation /// 0030170 // pyridoxal phosphate binding // inferred from electronic annotation /// 0042242 // cobyrinic acid a,c-diamide synthase activity // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation /// 0051536 // iron-sulfur cluster binding // inferred from electronic annotation /// 0051537 // 2 iron, 2 sulfur cluster binding // inferred from electronic annotation /// 0051539 // 4 iron, 4 sulfur cluster binding // inferred from electronic annotation"
AFFX-BioC-3_at	"E. coli /GEN=bioC /DB_XREF=gb:J04423.1 /NOTE=SIF corresponding to nucleotides 4626-4878 of gb:J04423.1 /DEF=E.coli 7,8-diamino-pelargonic acid (bioA), biotin synthetase (bioB), 7-keto-8-amino-pelargonic acid synthetase (bioF), bioC protein, and dethiobiotin synthetase (bioD), complete cds."	---	---	0008152 // metabolic process // inferred from electronic annotation /// 0009058 // biosynthetic process // inferred from electronic annotation /// 0009102 // biotin biosynthetic process // inferred from electronic annotation /// 0009236 // cobalamin biosynthetic process // inferred from electronic annotation	0005737 // cytoplasm // inferred from electronic annotation	"0000166 // nucleotide binding // inferred from electronic annotation /// 0000287 // magnesium ion binding // inferred from electronic annotation /// 0003824 // catalytic activity // inferred from electronic annotation /// 0004015 // adenosylmethionine-8-amino-7-oxononanoate transaminase activity // inferred from electronic annotation /// 0004076 // biotin synthase activity // inferred from electronic annotation /// 0004141 // dethiobiotin synthase activity // inferred from electronic annotation /// 0005506 // iron ion binding // inferred from electronic annotation /// 0005524 // ATP binding // inferred from electronic annotation /// 0008168 // methyltransferase activity // inferred from electronic annotation /// 0008483 // transaminase activity // inferred from electronic annotation /// 0008710 // 8-amino-7-oxononanoate synthase activity // inferred from electronic annotation /// 0016740 // transferase activity // inferred from electronic annotation /// 0016769 // transferase activity, transferring nitrogenous groups // inferred from electronic annotation /// 0016874 // ligase activity // inferred from electronic annotation /// 0030170 // pyridoxal phosphate binding // inferred from electronic annotation /// 0042242 // cobyrinic acid a,c-diamide synthase activity // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation /// 0051536 // iron-sulfur cluster binding // inferred from electronic annotation /// 0051537 // 2 iron, 2 sulfur cluster binding // inferred from electronic annotation /// 0051539 // 4 iron, 4 sulfur cluster binding // inferred from electronic annotation"
